Date,Open,High,Low,Close,Adj Close,Volume
2021-12-02,15.714522,16.726768,15.160456,15.725526,15.725526,140912509735
2021-12-03,15.705751,15.930995,14.545555,15.063121,15.063121,94972564339
2021-12-04,15.090469,15.106006,10.004246,13.454682,13.454682,330136914036
2021-12-05,13.410254,13.626200,12.258240,12.886361,12.886361,123805734999
2021-12-06,12.895990,13.609943,12.030363,13.449887,13.449887,143016208066
2021-12-07,13.447925,13.837326,13.235298,13.332697,13.332697,81825165659
2021-12-08,13.317852,13.757156,13.033192,13.505027,13.505027,76492669372
2021-12-09,13.490731,13.711678,12.812862,12.812862,12.812862,80969645095
2021-12-10,12.811489,13.203735,12.434903,12.461948,12.461948,64078839969
2021-12-11,12.467774,12.878062,12.264506,12.797678,12.797678,52466867970
2021-12-12,12.788954,13.091516,12.561453,12.865724,12.865724,44917578539
2021-12-13,12.864883,12.918558,11.524329,11.947697,11.947697,73435864516
2021-12-14,11.940089,16.666193,11.800934,13.700489,13.700489,487576062201
2021-12-15,14.535980,14.535980,13.081201,13.800572,13.800572,187948208459
2021-12-16,13.807366,14.070503,13.150715,13.211637,13.211637,80584644070
2021-12-17,13.206030,13.456851,12.339154,12.853620,12.853620,78084547895
2021-12-18,12.860492,13.292773,12.643251,13.111277,13.111277,50117426835
2021-12-19,13.121365,13.261739,12.876968,12.891731,12.891731,41129977265
2021-12-20,12.887701,12.992327,12.242600,12.676134,12.676134,69109829589
2021-12-21,12.659179,13.023825,12.584226,12.955685,12.955685,47031470213
2021-12-22,12.952216,13.566425,12.870914,13.071518,13.071518,70373708785
2021-12-23,13.071154,13.845136,12.960299,13.849251,13.849251,88916197182
2021-12-24,13.885956,14.662139,13.504982,14.018171,14.018171,139220111447
2021-12-25,14.024929,14.638175,13.939273,14.321308,14.321308,75899885079
2021-12-26,14.314554,14.517034,13.944912,14.326541,14.326541,49057569544
2021-12-27,14.323977,14.461407,14.021512,14.074255,14.074255,49995032674
2021-12-28,14.084860,14.087755,12.898360,13.013302,13.013302,71306485835
2021-12-29,13.011650,13.255307,12.435360,12.510356,12.510356,61418428718
2021-12-30,12.538106,13.075764,12.332574,12.751444,12.751444,44603260327
2021-12-31,12.751687,12.997614,12.465655,12.704702,12.704702,48019386583
2022-01-01,12.705768,12.922800,12.694064,12.893913,12.893913,27670498575
2022-01-02,12.893277,13.113983,12.757254,12.994863,12.994863,29136745566
2022-01-03,12.995087,12.995087,12.521124,12.655166,12.655166,37640789933
2022-01-04,12.659862,12.851819,12.537298,12.581721,12.581721,40392309478
2022-01-05,12.584116,12.697147,11.305588,11.865850,11.865850,73991132635
2022-01-06,11.867022,12.033778,11.539895,11.922816,11.922816,53234919833
2022-01-07,11.922175,11.928907,11.247514,11.507495,11.507495,71958188650
2022-01-08,11.508056,11.708069,10.962204,11.280299,11.280299,43385771053
2022-01-09,11.280714,11.413067,11.106074,11.217451,11.217451,30354771645
2022-01-10,11.218039,11.275995,10.362634,10.616701,10.616701,56555866981
2022-01-11,10.616061,12.166648,10.563937,11.323267,11.323267,120204742187
2022-01-12,11.327597,11.929783,11.250795,11.929783,11.929783,66124852297
2022-01-13,11.923161,12.922875,11.923161,12.726422,12.726422,170271279558
2022-01-14,12.727147,15.067106,12.670195,13.611275,13.611275,428920115277
2022-01-15,13.618344,14.356616,13.546547,13.726509,13.726509,139286371102
2022-01-16,13.725785,13.725785,13.001579,13.160747,13.160747,81913192492
